position_group,direction,feature_group,mask_condition,n_pairs,mean_plt,mean_clt,mean_clt_minus_plt,ci95_low_clt_minus_plt,ci95_high_clt_minus_plt,plt_positive_frac,clt_positive_frac,same_positive_frac,sign_agreement_frac,kind,mask_variant,intervention
top_hidden_delta,corrupt,activation_matched_topk,union_mask,144,-0.0048828125,-0.0016276041666666667,0.0032552083333333335,-0.003472222222222222,0.009765625,0.06944444444444445,0.10416666666666667,0.027777777777777776,0.75,feature,,
top_hidden_delta,corrupt,attribution_matched_mask_insensitive_topk,union_mask,144,0.0016276041666666667,-0.001953125,-0.0035807291666666665,-0.009659830729166667,0.002712673611111111,0.06944444444444445,0.1111111111111111,0.020833333333333332,0.75,feature,,
top_hidden_delta,corrupt,drop_matched_topk,union_mask,144,-0.00043402777777777775,-0.0048828125,-0.004448784722222222,-0.01171875,0.0020616319444444445,0.08333333333333333,0.13194444444444445,0.034722222222222224,0.6736111111111112,feature,,
top_hidden_delta,corrupt,evidence_attribution_topk,union_mask,144,-0.0018446180555555555,-0.0030381944444444445,-0.001193576388888889,-0.009114583333333334,0.007052951388888889,0.11805555555555555,0.125,0.027777777777777776,0.6736111111111112,feature,,
top_hidden_delta,corrupt,random_active_topk,union_mask,144,0.0008680555555555555,-0.006076388888888889,-0.006944444444444444,-0.013020833333333334,-0.001736111111111111,0.08333333333333333,0.06944444444444445,0.034722222222222224,0.7986111111111112,feature,,
top_hidden_delta,restore,activation_matched_topk,union_mask,144,-0.0007459852430555555,0.0035807291666666665,0.004326714409722222,-0.0014923095703125,0.010160658094618047,0.1388888888888889,0.1527777777777778,0.0763888888888889,0.6736111111111112,feature,,
top_hidden_delta,restore,attribution_matched_mask_insensitive_topk,union_mask,144,-0.001369900173611111,0.0023193359375,0.003689236111111111,-0.0021714952256944443,0.009820556640624997,0.1111111111111111,0.1736111111111111,0.0625,0.7083333333333334,feature,,
top_hidden_delta,restore,drop_matched_topk,union_mask,144,0.0015733506944444445,0.004082573784722222,0.002509223090277778,-0.0021704779730902777,0.00786709255642361,0.125,0.1388888888888889,0.06944444444444445,0.7986111111111112,feature,,
top_hidden_delta,restore,evidence_attribution_topk,union_mask,144,0.003960503472222222,0.0013834635416666667,-0.0025770399305555555,-0.007338121202256945,0.002129787868923609,0.1388888888888889,0.14583333333333334,0.06944444444444445,0.7638888888888888,feature,,
top_hidden_delta,restore,random_active_topk,union_mask,144,-0.0009629991319444445,-0.002265082465277778,-0.0013020833333333333,-0.006808810763888889,0.004097832573784713,0.1111111111111111,0.11805555555555555,0.0625,0.7708333333333334,feature,,
top_hidden_delta_plus_answer_adjacent,corrupt,activation_matched_topk,union_mask,144,-0.12217881944444445,0.03331163194444445,0.1554904513888889,0.10112847222222222,0.2121392144097222,0.3263888888888889,0.4027777777777778,0.18055555555555555,0.4027777777777778,feature,,
top_hidden_delta_plus_answer_adjacent,corrupt,attribution_matched_mask_insensitive_topk,union_mask,144,-0.0018446180555555555,0.021918402777777776,0.023763020833333332,-0.0196533203125,0.0740071614583333,0.3472222222222222,0.4444444444444444,0.1388888888888889,0.3402777777777778,feature,,
top_hidden_delta_plus_answer_adjacent,corrupt,drop_matched_topk,union_mask,144,-0.001736111111111111,0.007378472222222222,0.009114583333333334,-0.020621744791666667,0.038411458333333336,0.2847222222222222,0.375,0.13194444444444445,0.3958333333333333,feature,,
top_hidden_delta_plus_answer_adjacent,corrupt,evidence_attribution_topk,union_mask,144,0.008897569444444444,0.3046875,0.2957899305555556,0.19703233506944445,0.4108127170138889,0.3958333333333333,0.6944444444444444,0.24305555555555555,0.3333333333333333,feature,,
top_hidden_delta_plus_answer_adjacent,corrupt,random_active_topk,union_mask,144,-0.007052951388888889,0.009982638888888888,0.017035590277777776,-0.001955837673611111,0.036783854166666664,0.2569444444444444,0.3402777777777778,0.09722222222222222,0.375,feature,,
top_hidden_delta_plus_answer_adjacent,restore,activation_matched_topk,union_mask,144,-0.07588704427083333,0.0438232421875,0.11971028645833333,0.07078653971354167,0.1703704833984375,0.3194444444444444,0.4513888888888889,0.1875,0.3680555555555556,feature,,
top_hidden_delta_plus_answer_adjacent,restore,attribution_matched_mask_insensitive_topk,union_mask,144,0.005438910590277778,0.03647189670138889,0.031032986111111112,-0.022332763671875,0.08621080186631942,0.3680555555555556,0.4583333333333333,0.1597222222222222,0.3958333333333333,feature,,
top_hidden_delta_plus_answer_adjacent,restore,drop_matched_topk,union_mask,144,0.003119574652777778,-0.007405598958333333,-0.010525173611111112,-0.048150634765625,0.022842746310763877,0.3611111111111111,0.4097222222222222,0.1736111111111111,0.4236111111111111,feature,,
top_hidden_delta_plus_answer_adjacent,restore,evidence_attribution_topk,union_mask,144,0.05381944444444445,0.4728054470486111,0.4189860026041667,0.27907850477430557,0.5767479790581598,0.4375,0.6805555555555556,0.3472222222222222,0.4791666666666667,feature,,
top_hidden_delta_plus_answer_adjacent,restore,random_active_topk,union_mask,144,0.006456163194444444,0.0028211805555555555,-0.003634982638888889,-0.024090576171875,0.015788438585069443,0.3541666666666667,0.3472222222222222,0.1527777777777778,0.4444444444444444,feature,,
,,,answer_mask,122,-0.003714139344262295,0.03265881147540984,0.03637295081967213,0.0013431736680327869,0.07770876024590163,0.14754098360655737,0.28688524590163933,0.07377049180327869,0.4098360655737705,source_control,mask_shuffled,restore
,,,answer_mask,122,0.03354732325819672,0.1306612608862705,0.09711393762807377,0.03475481877561475,0.1677542264344262,0.4098360655737705,0.5409836065573771,0.27049180327868855,0.39344262295081966,source_control,real_mask,restore
,,,answer_mask,122,0.18570696721311475,0.6385758196721312,0.45286885245901637,0.37575883709016394,0.5368980532786884,0.9344262295081968,0.9836065573770492,0.9180327868852459,0.9180327868852459,source_control,real_mask,zeroing
,,,union_mask,120,-0.015494791666666667,0.0415283203125,0.057023111979166666,0.0218389892578125,0.099788818359375,0.10833333333333334,0.30833333333333335,0.03333333333333333,0.4166666666666667,source_control,mask_shuffled,restore
,,,union_mask,120,0.019482421875,0.16935221354166666,0.14986979166666667,0.0804296875,0.2332430013020833,0.3416666666666667,0.5666666666666667,0.23333333333333334,0.38333333333333336,source_control,real_mask,restore
,,,union_mask,120,0.20481770833333332,0.6438802083333334,0.4390625,0.34527994791666666,0.5307356770833334,0.9333333333333333,0.9833333333333333,0.9166666666666666,0.9166666666666666,source_control,real_mask,zeroing
